"","species","Longitude","Latitude","occ","coords.x1","coords.x2"
"74","Lutjanus Griseus",-86.005521,30.266322,1,-86.005521,30.266322
"75","Lutjanus Griseus",-74.526836,24.107796,1,-74.526836,24.107796
"76","Lutjanus Griseus",-79.546294,22.496348,1,-79.546294,22.496348
"77","Lutjanus Griseus",-87.31444,20.39693,1,-87.31444,20.39693
"78","Lutjanus Griseus",-80.179077,25.510982,1,-80.179077,25.510982
"79","Lutjanus Griseus",-80.954283,29.112995,1,-80.954283,29.112995
"80","Lutjanus Griseus",-80.211228,27.255638,1,-80.211228,27.255638
"81","Lutjanus Griseus",-80.777223,28.857792,1,-80.777223,28.857792
"82","Lutjanus Griseus",-87.12117,22.209079,1,-87.12117,22.209079
"83","Lutjanus Griseus",-82.599838,27.81942,1,-82.599838,27.81942
"84","Lutjanus Griseus",-82.817879,9.749149,1,-82.817879,9.749149
"85","Lutjanus Griseus",-38.39165,-3.598067,1,-38.39165,-3.598067
"86","Lutjanus Griseus",-38.333333,-3.75,1,-38.333333,-3.75
"87","Lutjanus Griseus",-36.964722,-4.747222,1,-36.964722,-4.747222
"88","Lutjanus Griseus",-80.11255,26.056561,1,-80.11255,26.056561
"89","Lutjanus Griseus",-78.754881,9.497428,1,-78.754881,9.497428
"90","Lutjanus Griseus",-80.022647,25.722391,1,-80.022647,25.722391
"91","Lutjanus Griseus",-80.570668,25.000353,1,-80.570668,25.000353
"92","Lutjanus Griseus",-97.107986,27.951319,1,-97.107986,27.951319
"93","Lutjanus Griseus",-87.841953,18.212419,1,-87.841953,18.212419
"94","Lutjanus Griseus",-87.070639,30.341231,1,-87.070639,30.341231
"95","Lutjanus Griseus",-81.023405,29.230359,1,-81.023405,29.230359
"96","Lutjanus Griseus",-80.434782,25.199,1,-80.434782,25.199
"97","Lutjanus Griseus",-86.498505,30.45952,1,-86.498505,30.45952
"98","Lutjanus Griseus",-81.971001,26.576566,1,-81.971001,26.576566
"99","Lutjanus Griseus",-66.950855,17.93264,1,-66.950855,17.93264
"100","Lutjanus Griseus",-82.627871,25.811539,1,-82.627871,25.811539
"101","Lutjanus Griseus",-78.644681,22.581511,1,-78.644681,22.581511
